Date,Open,High,Low,Close,Adj Close,Volume
3/1/1999,0.310826,0.331473,0.285714,0.320871,0.272354,9951995200
4/1/1999,0.321987,0.420759,0.299107,0.410714,0.348613,15888969600
5/1/1999,0.411272,0.446429,0.365513,0.393415,0.333929,8908905600
6/1/1999,0.401786,0.4375,0.375558,0.413504,0.350981,6918620800
7/1/1999,0.413504,0.50558,0.40346,0.49721,0.42203,11466582400
8/1/1999,0.496652,0.58817,0.465402,0.582589,0.494499,9244603200
9/1/1999,0.598214,0.715402,0.512835,0.56529,0.479816,18967468800
10/1/1999,0.554688,0.723772,0.53125,0.715402,0.607231,14468496000
11/1/1999,0.714286,0.926339,0.69029,0.873884,0.74175,8624929600
12/1/1999,0.901786,1.053571,0.813058,0.917969,0.779169,9418214400
